ID,Year,Site,Lat,Lon,Sex,Days in lab,RBM,AGD.c,TotalVocalizations,note_num,call_length,trill_rate,call_Hz_max,call_Hz_min,call_BW_mean,call_BW_max,call_DF,entropy
SGTm037,2015,QERC,9.55262,-83.80635,M,7,0.947709046,NA,0,68.4,6.27,10.79,67901.62,8544,23507.82,59360,21948.32,-5.6
SGTm038,2015,Robles,9.55198,-83.79571,M,7,-0.534104565,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm039,2015,QERC,9.55262,-83.80635,M,6,0.356802241,-0.864542051,3,81,6.02375,13.7875,73719.025,8390,34432.125,65312.5,22482.2625,-4.8675
SGTm040,2015,QERC,9.55262,-83.80635,M,6,-0.243197759,1.940004549,0,97,8.61,11.3,83160.4,9160,28346.7,74000,29928.2,-4.05
SGTm041,2015,MH,9.58061,-83.79934,M,2,0.029522657,0.818185909,4,65.88888889,6.086666667,10.84444444,74005.13333,8646.666667,26911.63333,65377.77778,20888.23333,-4.808888889
SGTm043,2015,MH,9.58061,-83.79934,M,4,2.256802241,1.379095229,16,64.44444444,5.328333333,13.52444444,59085.42222,9836.666667,30044.4,49255.55556,29704.6,-4.361111111
SGTm044,2015,QERC,9.55262,-83.80635,M,2,-0.052290954,0.818185909,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm045,2015,QERC,9.55262,-83.80635,M,3,0.865895435,1.940004549,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm046,2015,MH,9.58061,-83.79934,M,2,-1.152290954,-0.303632731,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm047,2015,QERC,9.55262,-83.80635,M,2,2.347709046,-1.425451371,1,42,2.41,17.4,61798.1,3810,24177.9,58000,31627.7,-4.88
SGTm048,2015,MH,9.58061,-83.79934,M,2,0.665895435,-0.864542051,5,65.33333333,6.381666667,10.23333333,71207.68333,6230,30420.16667,64983.33333,20324.63333,-4.406666667
SGTm049,2015,MH,9.58061,-83.79934,M,3,1.056802241,-0.303632731,2,86,7.89,10.9,35095.2,10700,19117.8,24400,29446.6,-4.33
SGTm050,2015,QERC,9.55262,-83.80635,M,3,-0.293197759,-1.144996711,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm051,2015,MH,9.58061,-83.79934,M,3,-0.486840065,0.818185909,1,43.5,4.35,10.03,37765.5,11810,22770.7,25950,30088.05,-4.99
SGTm052,2015,QERC,9.55262,-83.80635,M,3,0.965895435,0.257276589,3,83.33333333,6.43,13.03333333,92569.96667,9413.333333,37482.9,83166.66667,35272.33333,-4.836666667
SGTm053,2015,MH,9.58061,-83.79934,M,2,-0.643197759,-1.425451371,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm054,2015,MH,9.58061,-83.79934,M,3,-0.743197759,0.257276589,13,78.33333333,7.72,9.97,72224.93333,10173.33333,33401.66667,62066.66667,26382,-4.86
SGTm055,2015,PC,9.58855,-83.79922,M,2,-1.752290954,-0.864542051,1,63,6.28,10.015,54359.425,8775,29571.475,45600,32197.525,-4.15
SGTm056,2015,QERC,9.55262,-83.80635,M,2,-1.152290954,0.257276589,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm057,2015,QERC,9.55262,-83.80635,M,2,2.838615852,0.818185909,3,79,6.1518,14.08,47454.84,8850,23893.94,38600,21856.38,-4.756
SGTm058,2015,PH,9.54955,-83.81023,M,5,0.847709046,-0.303632731,1,76,6.34,12,55694.55,9920,25659.6,45750,22951.55,-4.57
SGTm059,2015,QERC,9.55262,-83.80635,M,3,-1.861384148,1.154731501,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm060,2015,QERC,9.55262,-83.80635,M,2,-1.226835037,-0.864542051,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm061,2015,QERC,9.55262,-83.80635,M,3,-0.470477343,-0.303632731,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm066,2015,QERC,9.55262,-83.80635,M,4,NA,-0.864542051,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm070,2015,QERC,9.55262,-83.80635,M,2,-1.152290954,-0.303632731,2,89,7.9425,11.225,68855.3,8775,39862.025,60075,26467,-4.6
